#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         ranlux|  1.99e+07  |1397750254|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.41657797|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.50054980|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.98272520|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.70845642|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.87083100|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.34409459|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.59994573|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.18610571|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.09347688|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.93526655|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.91236945|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.37735281|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.73200219|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.04132270|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.27227047|  PASSED  
             dab_dct| 256|     50000|       1|0.89145983|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.31726997|  PASSED  
        dab_filltree|  32|  15000000|       1|0.01157382|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.56774942|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.68157841|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.22610457|  PASSED  
